"mesh_term_lower","n_pmids","prop_total"
abortifacient agents,1740,0.000045252243809102941365
"abortifacient agents, nonsteroidal",3005,0.000078151145199054217702
"abortifacient agents, steroidal",1064,0.000027671487018899729662
abortion applicants,705,0.000018334960853688260725
"abortion, eugenic",2169,0.000056409262541347287253
"abortion, habitual",8277,0.00021526024253330175
"abortion, illegal",2150,0.000055915128844581220652
"abortion, incomplete",763,0.000019843368980658358771
"abortion, induced",31480,0.00081870151443135666
"abortion, legal",8203,0.00021333572181958128
"abortion, missed",1157,0.000030090141429386266183
"abortion, septic",1313,0.000034147239150202391961
"abortion, spontaneous",23288,0.00060565187001516626
"abortion, therapeutic",5183,0.00013479447107044859
"abortion, threatened",2360,0.000061376606545679851506
"abortion, veterinary",4846,0.00012603009971201888
abreaction,251,0.000006527766204646458783
abrin,301,0.000007828118038241370891
abruptio placentae,2505,0.000065147626863105096620
abrus,153,0.000003979076610800431051
abscess,30085,0.00078242169827405862
abscisic acid,9054,0.00023546771002736668
absenteeism,10050,0.00026137071855257733
absidia,198,0.000005149393261035851948
absinthe,40,0.000001040281466875929687
absorbable implants,10317,0.00026831459734397416
absorbent pads,156,0.000004057097720816125778
"absorptiometry, photon",27220,0.00070791153820907015
absorption,29828,0.00077573788984938077
"absorption, physicochemical",1030,0.000026787247772055189428
"absorption, physiological",526,0.000013679701289418475378
"absorption, radiation",663,0.000017242665313468534554
abstracting and indexing,4923,0.00012803264153575505
abuse-deterrent formulations,92,0.000002392647373814638279
ac133 antigen,3472,0.000090296431324830696792
acacia,1558,0.000040518963134817461291
academia,117,0.000003042823290612094333
academic dissertations as topic,1298,0.000033757133600123918328
academic failure,68,0.000001768478493689080467
academic medical centers,21420,0.00055707072551206035
academic performance,2167,0.000056357248468003490768
academic success,2761,0.000071805428251111046614
academies and institutes,18097,0.00047064934265134249
acalculous cholecystitis,404,0.000010506842815446889834
acalypha,34,0.000000884239246844540234
acamprosate,688,0.000017892841230265990609
acanthaceae,733,0.000019063157880501411506
acanthamoeba,2624,0.000068242464227060987437
acanthamoeba castellanii,772,0.000020077432310705442950
acanthamoeba keratitis,1312,0.000034121232113530493719
acanthocephala,1391,0.000036175788010610454850
acanthocheilonema,81,0.000002106569970423757615
acanthocheilonemiasis,21,0.000000546147770109863085
acanthocytes,316,0.000008218223588319844524
acantholysis,974,0.000025330853718428887867
acanthoma,320,0.000008322251735007437492
acanthopodina,1,0.000000026007036671898242
acanthosis nigricans,1757,0.000045694363432525211481
acarbose,1642,0.000042703554215256913633
acari,885,0.000023016227454629944315
acaricides,1878,0.000048841214869824898783
acaridae,303,0.000007880132111585167376
acatalasia,241,0.000006267695837927476361
accelerated idioventricular rhythm,105,0.000002730738850549315427
acceleration,12820,0.00033341021013373546
accelerometry,8608,0.00022386857167170007
acceptance and commitment therapy,1172,0.000030480246979464739816
accessory atrioventricular bundle,684,0.000017788813083578397640
accessory nerve,1066,0.000027723501092243526146
accessory nerve diseases,110,0.000002860774033908806638
accessory nerve injuries,275,0.000007151935084772016595
access to healthy foods,30,0.000000780211100156947265
access to information,7208,0.00018745872033104253
access to primary care,49,0.000001274344796923013866
